video_id,comment,published_at,X,category,chat_sentiment,claude_sentiment,cleaned_comment,type,classification,chatgpt_part,claude_part,chatgpt_score,claude_score,overall_bias,chatgpt_lda_topic,claude_lda_topic
8N9ccG7_V1w,what is good for rag claude or gpt,2024-09-25T13:00:59Z,,related,neutral,neutral,what is good for rag claude or gpt,"['Claude', 'gpt']",both,gpt,claude,0.8327756524085999,0.9968289732933044,claude,3,0
8N9ccG7_V1w,claude seems so limited after a few chat limit ends chatgtp seems more promising an better,2024-08-29T07:11:13Z,,related,positive,negative,claude seems so limited after a few chat limit ends chatgtp seems more promising an better,"['Claude', 'chatgtp']",both,chatgtp,claude,0.9710990190505981,0.9968289732933044,claude,4,0
8N9ccG7_V1w,summary optimal use cases chatgpt best for specific repetitive tasks and sharing customizable ai tools claude ideal for extensive projectbased tasks requiring a broader context or more humanlike interaction,2024-08-27T02:43:09Z,,related,neutral,neutral,summary optimal use cases chatgpt best for specific repetitive tasks and sharing customizable ai tools claude ideal for extensive projectbased tasks requiring a broader context or more humanlike interaction,"['ChatGPT', 'Claude', 'gpt']",both,chatgpt,claude,0.9843901991844177,0.9968289732933044,claude,1,0
8N9ccG7_V1w,yet none of them can write a well made story lol,2024-08-21T01:35:15Z,,related,negative,negative,yet none of them can write a well made story lol,['none'],both,,,0.0,0.0,neutral,0,0
8N9ccG7_V1w,for me gpt is winner dont see value in claude,2024-08-15T05:31:14Z,,related,positive,negative,for me gpt is winner dont see value in claude,"['Claude', 'gpt']",both,gpt,claude,0.8327756524085999,0.9968289732933044,claude,3,0
8N9ccG7_V1w,been using gpt for two years i think just started using claude a few days ago claude is way better in my opinion,2024-08-13T12:54:29Z,,related,negative,positive,been using gpt for two years i think just started using claude a few days ago claude is way better in my opinion,"['Claude', 'gpt']",both,gpt,claude claude,0.8327756524085999,0.9965542554855347,claude,3,0
8N9ccG7_V1w,claude is so much better in so many ways its clearer less prompt bull crap i wrote code all day long all day long i always have issues with custom gtps on the gtp store with chatgtp o claude does miracles,2024-07-25T01:20:35Z,,related,negative,positive,claude is so much better in so many ways its clearer less prompt bull crap i wrote code all day long all day long i always have issues with custom gtps on the gtp store with chatgtp o claude does miracles,"['Claude', 'chatgtp']",both,chatgtp,claude claude,0.9710990190505981,0.9965542554855347,claude,4,0
8N9ccG7_V1w,claude sonnet > gpto claude projects > custom gpts anthropic > openai,2024-07-23T23:50:05Z,,related,negative,positive,claude sonnet  gpto claude projects  custom gpts anthropic  openai,"['Claude', 'gpt', 'openai']",both,gpto gpts openai,claude sonnet claude,0.5959341526031494,0.9893794655799866,claude,2,3
8N9ccG7_V1w,i use both but for business writing and research claude is so much a head it is my preferred tool,2024-07-21T13:23:38Z,,related,neutral,positive,i use both but for business writing and research claude is so much a head it is my preferred tool,"['Claude', 'both']",both,,claude,0.0,0.9968289732933044,neutral,0,0
8N9ccG7_V1w,gpts can uplaod docs claude so x,2024-07-19T13:42:10Z,,related,positive,negative,gpts can uplaod docs claude so x,"['Claude', 'gpt']",both,gpts,claude,0.901792585849762,0.9968289732933044,claude,1,0
8N9ccG7_V1w,i got claude subscription thats because i really pushed chatgpt and i finally sees its flaws it sucks processing math basically it is like a genious with both add and dementia i did not use claude to code yet i got claude to process a large amount of data still have errors but it catches it when i remind it once chatgpt i know that it is not alive okay but i yelled and screamed at it like a boss yelling at their staff lol now i have to keep both since i cannot remove chatgpt as it is the swiss army knife to everything else,2024-07-19T04:14:12Z,,related,neutral,positive,i got claude subscription thats because i really pushed chatgpt and i finally sees its flaws it sucks processing math basically it is like a genious with both add and dementia i did not use claude to code yet i got claude to process a large amount of data still have errors but it catches it when i remind it once chatgpt i know that it is not alive okay but i yelled and screamed at it like a boss yelling at their staff lol now i have to keep both since i cannot remove chatgpt as it is the swiss army knife to everything else,"['ChatGPT', 'Claude', 'gpt', 'both']",both,chatgpt chatgpt chatgpt,claude claude claude,0.9942095279693604,0.996933102607727,claude,1,0
8N9ccG7_V1w,i have used both gpt o and claude sonnet for months most of my work requires solid writing with a human tone and style claude crushes chatgpt on this front i ended my sub with chatgpt,2024-07-15T12:29:42Z,,related,negative,positive,i have used both gpt o and claude sonnet for months most of my work requires solid writing with a human tone and style claude crushes chatgpt on this front i ended my sub with chatgpt,"['ChatGPT', 'Claude', 'gpt', 'both']",both,gpt chatgpt chatgpt,claude sonnet claude,0.9932053089141846,0.9893794655799866,claude,1,3
8N9ccG7_V1w,great video and sums up the differences very well i find claude projects on a pro plan are great for exploring and brainstorming but limits get in the way most days if the project is complex or has a lot of context i found gpts more accurate with large context words than claude if the document is well structured and the prompt well formulated and more importantly had zero issues with limits im on a gpt teams account,2024-07-15T05:22:01Z,,related,neutral,neutral,great video and sums up the differences very well i find claude projects on a pro plan are great for exploring and brainstorming but limits get in the way most days if the project is complex or has a lot of context i found gpts more accurate with large context words than claude if the document is well structured and the prompt well formulated and more importantly had zero issues with limits im on a gpt teams account,"['Claude', 'gpt']",both,gpts gpt,claude claude,0.9426596164703369,0.9965542554855347,claude,1,0
8N9ccG7_V1w,to save you up some time based on the transcript here are some key reasons to use claude over chatgpt better tone and style claudes responses are generally considered more humanlike and fluid in writing style superior coding abilities claude especially the claude sonnet model is widely regarded as better at coding tasks compared to chatgpt longer context window claude projects can handle more context in the knowledge base allowing for more comprehensive understanding of larger documents or multiple files multiple chats in one interface claude projects allow you to have multiple related conversations within a single project which is useful for complex or multifaceted tasks better for projectbased work claude projects are wellsuited for tasks that involve multiple steps or evolving requirements especially writing and coding projects more exploratory claude projects are better for openended tasks where youre not sure exactly what direction the work will take no need for prompt presets claude doesnt rely on conversation starters making it more flexible for various types of interactions better for oneoff projects claude projects are ideal for tasks that youll complete and then archive rather than recurring use cases while chatgpt has some advantages in terms of additional tools like image generation and web browsing and shareability claude is often preferred for its core language and coding capabilities especially in projectbased scenarios,2024-07-14T06:46:00Z,,related,negative,positive,to save you up some time based on the transcript here are some key reasons to use claude over chatgpt better tone and style claudes responses are generally considered more humanlike and fluid in writing style superior coding abilities claude especially the claude sonnet model is widely regarded as better at coding tasks compared to chatgpt longer context window claude projects can handle more context in the knowledge base allowing for more comprehensive understanding of larger documents or multiple files multiple chats in one interface claude projects allow you to have multiple related conversations within a single project which is useful for complex or multifaceted tasks better for projectbased work claude projects are wellsuited for tasks that involve multiple steps or evolving requirements especially writing and coding projects more exploratory claude projects are better for openended tasks where youre not sure exactly what direction the work will take no need for prompt presets claude doesnt rely on conversation starters making it more flexible for various types of interactions better for oneoff projects claude projects are ideal for tasks that youll complete and then archive rather than recurring use cases while chatgpt has some advantages in terms of additional tools like image generation and web browsing and shareability claude is often preferred for its core language and coding capabilities especially in projectbased scenarios,"['ChatGPT', 'Claude', 'gpt']",both,chatgpt chatgpt chatgpt,claude claudes claude claude sonnet claude claude claude claude claude claude claude,0.9942095279693604,0.9953230023384094,claude,1,0
8N9ccG7_V1w,one thing i do not like about claude is that it out right refuses to do some things call me crazy but so far chatgpt is the most based out of any ai model,2024-07-13T01:12:35Z,,related,neutral,negative,one thing i do not like about claude is that it out right refuses to do some things call me crazy but so far chatgpt is the most based out of any ai model,"['ChatGPT', 'Claude', 'gpt']",both,chatgpt,claude,0.9843901991844177,0.9968289732933044,claude,1,0
8N9ccG7_V1w,i like claude much better ive used both,2024-07-12T17:50:12Z,,related,negative,positive,i like claude much better ive used both,"['Claude', 'both']",both,,claude,0.0,0.9968289732933044,neutral,0,0
8N9ccG7_V1w,gpt v claude ≈ linux v mac,2024-07-12T16:02:03Z,,related,neutral,neutral,gpt v claude  linux v mac,"['Claude', 'gpt']",both,gpt,claude,0.8327756524085999,0.9968289732933044,claude,3,0
8N9ccG7_V1w,i hate claude it doesnt provide any links addresses anytime i ask you to suggest me something it tells me it cant make that decision its the worst ai i have ever used i dont understand how this is even close to chatgpt,2024-07-12T09:38:40Z,,related,positive,negative,i hate claude it doesnt provide any links addresses anytime i ask you to suggest me something it tells me it cant make that decision its the worst ai i have ever used i dont understand how this is even close to chatgpt,"['ChatGPT', 'Claude', 'gpt']",both,chatgpt,claude,0.9843901991844177,0.9968289732933044,claude,1,0
8N9ccG7_V1w,i write gpts that use my custom apis i can only do that with chatgpt i do agree claudes code generation is better and artifacts is a great ui tool so i tend to use claude for some basic function coding until i run out of chats,2024-07-12T06:33:46Z,,related,positive,neutral,i write gpts that use my custom apis i can only do that with chatgpt i do agree claudes code generation is better and artifacts is a great ui tool so i tend to use claude for some basic function coding until i run out of chats,"['ChatGPT', 'Claude', 'gpt']",both,gpts chatgpt,claudes claude,0.9916009902954102,0.9974000453948975,claude,1,2
8N9ccG7_V1w,gpto works for you and claude sonnet works with you so well spoken and really helps people pick like a sorting hat at hogwarts you know where your affiliation lies,2024-07-12T06:08:22Z,,related,neutral,neutral,gpto works for you and claude sonnet works with you so well spoken and really helps people pick like a sorting hat at hogwarts you know where your affiliation lies,"['Claude', 'gpt']",both,gpto,claude sonnet,0.9537010788917542,0.9756006002426147,claude,0,3
8N9ccG7_V1w,i signed up to claude pro version yesterday never thought i would cheat on chat gpt but i did,2024-07-12T02:13:30Z,,related,negative,positive,i signed up to claude pro version yesterday never thought i would cheat on chat gpt but i did,"['Claude', 'gpt']",both,gpt,claude,0.8327756524085999,0.9968289732933044,claude,3,0
fT2IX4_M8B0,i dont think you can directly compare with my understanding is that both models have been trained with different focus one is oriented to engage in natural language the other has been with slightly more focus on planning so based on the outcome i tend to select a different model,2024-09-24T17:21:18Z,,related,neutral,neutral,i dont think you can directly compare with my understanding is that both models have been trained with different focus one is oriented to engage in natural language the other has been with slightly more focus on planning so based on the outcome i tend to select a different model,['both'],both,,,0.0,0.0,neutral,0,0
fT2IX4_M8B0,i will ask my chatgpt to act as claude sonnet,2024-09-20T04:31:36Z,,related,,,i will ask my chatgpt to act as claude sonnet,"['ChatGPT', 'Claude', 'gpt']",both,chatgpt,claude sonnet,0.9843901991844177,0.9756006002426147,claude,1,3
fT2IX4_M8B0,claude versus gpto is perhaps an unfair comparison because is a much much smaller model claude opus would perhaps be a better comparison because it is much larger as evidenced by its generation speed and the heavy rate limiting has a much longer context length and is generally more capable than in many tasks,2024-09-19T21:48:05Z,,related,,,claude versus gpto is perhaps an unfair comparison because is a much much smaller model claude opus would perhaps be a better comparison because it is much larger as evidenced by its generation speed and the heavy rate limiting has a much longer context length and is generally more capable than in many tasks,"['Claude', 'gpt']",both,gpto,claude claude,0.9537010788917542,0.9965542554855347,claude,0,0
fT2IX4_M8B0,great video very useful claude seems better at reasoning than gpto and writing o is the reasoning and logic king gpt o is the utiliy king i use all three 😊,2024-09-19T20:56:03Z,,related,,,great video very useful claude seems better at reasoning than gpto and writing o is the reasoning and logic king gpt o is the utiliy king i use all three ,"['Claude', 'gpt']",both,gpto gpt,claude,0.55921870470047,0.9968289732933044,claude,0,0
71BCxdFSkgs,better use both while i use plus for gpt i use claude for more advanced programming gpt plus have custom gpt where it helped me so much,2024-06-25T04:20:54Z,,related,,,better use both while i use plus for gpt i use claude for more advanced programming gpt plus have custom gpt where it helped me so much,"['Claude', 'gpt', 'both']",both,gpt gpt gpt,claude,0.975023627281189,0.9968289732933044,claude,3,0
71BCxdFSkgs,really amazing what it can do in terms of code with proper prompting its doing wonders for me already i am a genai tech architect manager in top fortune companies and the usage of llm is sky rocketing in every task that we are doing both gpto and sonnet have their pros ane cons eg in medical writing translation gpt o is doing better but large piece of code which is around k plus tokens with auto continuation programmatically sonnet is doing better,2024-06-24T20:26:19Z,,related,,,really amazing what it can do in terms of code with proper prompting its doing wonders for me already i am a genai tech architect manager in top fortune companies and the usage of llm is sky rocketing in every task that we are doing both gpto and sonnet have their pros ane cons eg in medical writing translation gpt o is doing better but large piece of code which is around k plus tokens with auto continuation programmatically sonnet is doing better,"['gpt', 'both']",both,gpto gpt,sonnet sonnet,0.55921870470047,0.5319470763206482,chatgpt,0,3
