content,date,rating
"In the beginning, this application really seemed to be pretty stunning. But unfortunately, within the recent months, it appears to be going downhill in terms of performance. I constantly find myself using up my message caps with the GPT-4 model, just trying to get a simple process done. Whether it be generating a specific image or trying to get basic research on a subject online, the model seems to be taking shortcuts and not adhering to the specific custom instructions that you give it. And it becomes very frustrating because it gives these long, dragged-out responses that don't really correlate with what you're asking. And it tends to be very vague in finding exactly what you want. I'm no expert in AI, and I can't imagine how complex the software is to try and navigate. But at the end of the day, as someone who has a PLUS subscription, if I'm paying money for this premium service, I would like to be getting it. I shouldn't be running into my message cap just from trying to complete one task. That doesn't really seem fair. And again, the performance seems to be getting worse as time goes on. So I'm not sure what the problem is. But I kindly ask for you to please fix the model. Because at the end of the day, this was meant to be a tool to make certain tasks easier to complete. But now, unfortunately, it has become very difficult to get things done. And it's becoming a bit of a negative experience, rather than a fun one like it was when it first released.",2024-02-25 21:10:19,2
"I will start by saying that when Chat GPT works, it is incredible.  I started with the free version and had a positive experience except that pieces of conversations appeared to disappear.  At one point, I lost a one hour conversation which I had to go back and repeat, as I was trying to plan something and hadn’t written things down.  I chalked that up to a glitch and decided to upgrade to the paid version.  When I first started with the new version, it seemed to misunderstand lots of words, which hadn’t been a problem using the free version.  Since I’ve upgraded, about 75% of the time the system either has not been available, experiences an unknown error, or experiences heavy volume, making my purchase useless.  As an example, I’ve tried several times today and have not been able to use it most of the day.  The one time I did use it, if was skipping words and repeating the same sentences over with slightly different wording.  I’m not sure what is going on, but if a system is not available, it is not worth subscribing.  I love the technology and think it has tremendous potential, so I hope these links in the system can be worked out soon or I will be cancelling and looking at other options.",2024-01-20 18:36:56,2
"Gone are the days of searching endlessly through Google links to try and find a relevant answer, then using CTRL+F on the webpage to find the words you’re searching for. No more trying to lookup legal information, medical information, technical information, ANY information; ChatGPT plus is worth every penny, and I recommend making your own GPT to tailor it to your needs on ChatGPT’s website. I’ve made apps with no experience, filed motions in court with no legal background, diagnosed medical symptoms, solved math problems, written countless letters and messages in seconds, and that doesn’t even begin to scrape the surface of how much AI has helped my day to day life thus far. It continues to get better. o1-Preview and Search GPT, GPT-5 is nearly finished, and API extensions, memory, preferences, and more make this incalculably powerful to have in your pocket. I switched from Bing/CoPilot, I also tried Perplexity, both are garbage. I couldn’t be more impressed with ChatGPT.",2024-09-25 09:32:56,5
"I am giving my feedback for these purposes.

Once I was given the knowledge of this app existence. I had an eye opening experience. 
I haven’t not use this app since. I truly love the different options of support for situations based. 

I have to email daily at work is 95% of my job to communicate via email to my clients and coworkers. My biggest issues was proper grammar while communicating to others. I am lacking in the professional level of communication via email. I’m better over the phone or in person. 

So this app has saved my work life struggles all the time. I have created an account for work and my personal use. 

I would say that don’t use this to just copy and paste edit for your own personal touch to seem more like an actual person then computer. 

That’s how I use the app for school as well. 
Especially I have a lot of writing classes. This has been game changer. I’m a full time online student that’s a single mom. Anything that gives me more time I enjoy.

So all whom need that assistance and support you are not gonna regret this decision once. 

It’s user friendly and easy to use. 
Don’t think just download and see for yourself. 

I will always vouch for this app. 

Now go ahead and download now. 
For those that are students pay the fee for the full access won’t regret. Plus it’s affordable. 
This goes to Administration workers too .",2024-08-21 13:39:43,5
"ChatGPT has been my go-to for quick answers, creative ideas, and more. But there’s one feature I’ve been dreaming about—what if ChatGPT were available on the Apple Watch? The idea of having this AI assistant on my wrist sounds like a total game-changer.

Picture this: you’re in the middle of a busy day, your hands are full, and you need to ask ChatGPT something. Right now, you’d have to grab your phone, unlock it, and type in your question on a tiny keyboard. But if ChatGPT were on the Apple Watch, you could just speak your question and get an instant response. No more fumbling with your phone or dealing with the awkwardness of trying to type on a small screen.

The Apple Watch already does so much, but adding ChatGPT would make it an even more versatile tool. Whether you need a quick answer, a reminder, or even help drafting a message, you’d have everything right there on your wrist, ready to go. It’s like taking your productivity to the next level, making it easier to stay on top of things without interrupting your day.

In short, adding Apple Watch compatibility to ChatGPT would make an already amazing tool even better. I’m really hoping the developers see the potential in this upgrade—it’d make ChatGPT a must-have for anyone looking to get more done, more conveniently.",2024-08-22 15:56:44,5
"I literally don’t even know what to say here! This is life-changing; I completely understand why this app needs to have a premium subscriber price and a free version (like most other apps) which is industry standard. I’m also usually the one that makes fun of the nerds who spend their time and energy filling the internet with useless reviews that I that chances are no one will ever read much lass use! 

That all being said; I can really appreciate the immense amt of man hours that went into developing this intelligence AI that is already capable of producing complex and intelligent replies. I’m sure this could fool a human to believe that this server or online entity is actually a human being!! That blows my mind🤯🤯🤯😱🫠😑🫡 it’s like I swear I’ve seen movies about this very phenomenon. Let’s just say, It doesn’t end well for the for the lesser beings or us, the native people.",2024-02-07 13:41:42,5
"I use ChatGPT for everything. I use it to write letters of recommendations, I use it when I’m not sure what I’m gonna make for dinner. I tell him my ingredients and ask it to come up with a quick recipe, I use it when I’m teaching something new and need to figure out my three hour schedule block what should I teach? When, I use it to write my syllabus. I just feed everything I have to take teach and it gives me, an outline time schedule for my syllabus plus write out my syllabus for me, I also use it in combination with other AI such as mid journey when I want some thing, I ask ChatGPT to give me a prompt to feed into my journey, I use it to ask about journaling. What kind of prom should I use if I’m looking for self growth, it’s endless there’s so much you could do with it. I’m feel really fortunate. I have it here.",2024-09-14 16:46:43,5
"I’ve been using ChatGPT since day one. I’m a premium user, and it’s worth every penny. I use it to catch up on daily news, help me write, cook, make images, and have long, drawn-out discussions on political status and other topics. Before ChatGPT, it was hard for me to write because my grammar and spelling were horrible. Now, I can actually see my work come alive. I use ChatGPT, or as I like to say, my AI companion, to edit and spellcheck all my work. I am finally ready to be published. It only took me 30 years to finally say yes to publication because now I finally understand how my work looks when it’s edited and spelled properly.

I’m excited for Sora. Every time there’s an update, the system gets better and better. This is the only AI system I will use forever. I’m a one-company person. Thanks, ChatGPT, for changing my life",2024-05-21 13:32:10,5
"i downloaded this a couple months ago and have been very impressed. i am not paying for the premium thingy as my needs are met and exceeded using the free one. this thing is stunning. ai??? that’s like movie crap. i mostly use it as kind of a search engine since ittl js give u an answer instead of having to dig through websites or whatever. i do occasionally write my school essays with it but yk who’s gonna know right. it updates quite often and improves every time. the voice chat thing is hella scary. if you blindfolded me and told me i was on speakerphone with someone and had the ai voice chat running, i would 100% belive u. it STUTTERS. it freaking stutters how does a computer program stutter that’s so cool. but anyway it’s free u might as well try it good job to whoever made this thing",2024-01-04 23:17:47,5
"I have found an immense number of uses for ChatGPT and pay for the premium service. I have found that it’s extremely useful for preparing myself when starting a new task or developing a new skill. However, I’ve also found that conversations with ChatGPT can be a little bit clunky. I often pause while thinking through a sentence, and ChatGPT typically immediately interrupts with something like “I understand I’d be happy to help with that“ and this can be a little frustrating as I constantly have to rethink how I’m going to communicate with ChatGPT it’s not as conversational as it should be. It would be nice if the developers would fine-tune conversation with ChatGPT so that these interruptions don’t constantly happen; I imagine using ChatGPT as a personal assistant in the future and being constantly interrupted, does slow my workflow.",2024-08-29 15:20:37,4
