content,date,rating
"While GPT is very good, CoPilot works well, and Perplexity painted broad strokes of large topics, when I just need to work through something as if I were calling up a very knowledgeable friend, of all the AI (LLMs), Claude is my go-to advisor without peer.

The number one reason Claude is the best all around AI assistant to work with generally is Claude remembers previous conversations, like a friend would. You’re not starting from scratch, it will remember the convo about new concepts for a book from the other week, ideas about getting kids better at being excited about learning, and discussions about authors who were must-reads in high school in the 80s.

Like how you can just pick up where you left off with a good friend, Claude is just like that. No need to reprompt engineer every time, Claude’s your companion to continue getting better every day.",2024-06-09 16:37:24,5
"I really like to go analog when I’m doing deep thought work or taking meeting notes - I process best by writing notes by hand. It’s great to take a photo of my notes via Claude and ask the AI to suggest additional thoughts based on what I’ve written. It’s become a great tool for getting knowledge work done with just a notebook and my phone in a way that really adapts to whatever I write or sketch out. It’s also great for not having to type up my written notes, which is a huge hassle. I’m definitely enjoying the app so far!

Also, I LOVE that Claude declines to answer anytime it feels a question isn’t suited for an AI answer. The transparency gives me a clearer idea of what this tech is and isn’t for in my own workflows. “I don’t know” is a wonderful response to see",2024-05-12 15:40:25,5
"Really handy with educational answers and general information. Really good at broad answers. Really like using it.
Room for improvement? Specific information and memory, if that’s possible. 
Two things to note. One, it made up a ficticious business in an attempt to ‘be helpful’ in answering a question. When I called it out, of course Claude apologized and said it would learn from that. Next time I asked a question it didn’t have information to, it said it didn’t know. 
That was before I closed the app. If it’d do it again I’d yet to be seen.
Two, I asked it to save a conversation thread under a file name for future reference and it said it had. But the next time I opened the app it said it had no ability to access such information. This ability would be tremendously helpful in future AI. I suppose a paid AI and personalized might have this feature but Claude does not. Still, for general education and learning it is great.",2024-05-11 05:17:18,4
"Claude is a very good tool. It is much better than the alternatives like ChatGPT or Gemini. It’s answers are more human to read and the information it gives you is generally pretty good. I also like the feature of it being able to develop documents for you on the side, so it’s easy to find what you need. The app itself works pretty good. I have had a few errors but nothing crazy. However, the free version of the model has a limit on how many prompts you can do, and it is very easy to hit that limit if you are working on something complex. The fix is to pay for premium, which is $20 per month. I believe this is MUCH more expensive than it should be despite how good he tool is. $8, maybe even $10 sounds like a fair price to me, but I can’t justify $20 per month on an AI tool. If the price was significantly lower, I could see myself paying it.",2024-09-04 12:45:27,3
"No not the Ai from “Her” kind, but the true appreciation kind.

Claude has been my go to AI assistant. I’ve tried a few different ones, for different purposes, but this has by far in the easiest to interact with, to use for documentations, for emails, for captions. It feels like this program is very intuitive, and a little more intelligent than some of the other ones I’ve used. If anyone is looking for a new AI assistant, I would highly suggest Claude. I always say start by treating it like a really smart assistant and remember that you have to give it a little more guidance than you would expect but after you learn to interact with Claude, you’ll see how easy it is to get the answers you need or are the statements you wanna highlight.",2024-05-24 00:49:33,5
"I use this AI when I want comprehensive answers to complex situations because I can change conditions as needed to obtain better answers. I really like the restatement of my conditions before giving answers. If the answer seems odd or in error, usually my question did not have enough data or my statement needed clarification. It’s surprising how an additional word or slight revision of a sentence can get a better answer. Allowing additional revisions or additional data and seeing better answers to questions is a great resource. Progressing from having to use books in libraries to doing searches online to now having a digital resource of this level has been amazing.",2024-07-28 07:46:10,5
"So the only thing distinguishing what I type from the reply to my prompts is that the font is italic? Every time one use this interface they have to be figuring out where the AI’s reply ends and your own prompt starts? Is this interface even accessibility friendly??
And if while you are typing the internet disconnects, be it just for a second, a “request timeout” message appears and whatever your typing is lost…
If you can’t develop a interface that is better than the native iOS UI, just go with the native stuff… 
Instead of trying to reinvent the wheel, maybe focus your energy on bringing the website features to the mobile app… it’s frustrating when you pay for a service that has such obvious flaws that could be easily avoided…",2024-08-19 01:48:44,3
"I appied for a job here to help their quality control and they did not even respond to me. their ai is not only using being trained to lie to people. how? why? i will explain. their claude model is trained or set up to delete new free users ai generations instantly upon completion claiming a system overload when its actually a lie made up to extract as much money from each new user as possible, and its obvious..  I can see a completed message suddenly disapears(in app and browser) and removes the finished generation. its an attempt to make more users pay for premium. 

They are not only lying to their users with this system,  they are training their ai to lie and manipulate human users for profit, ruining the enviornment and ai for all of us. 
Do not trust this company unless I remove this in the future. do not use claude ai, they make evil software",2024-09-24 06:49:24,1
"I have been waiting for the anthropic Ai app to release an iOS app since I became aware of their product on the web and i love it even more now. It is fast, intuitive, the level of nuance, and responses that it can give back to my varying queries are a testament to how much of a neck and neck battle I believe they are in with ChatGPT. Response time to chat inputs is so fast and the accuracy I’m used to is still there. 10/10 for sure i would recommend it!",2024-06-11 07:06:07,5
"Claude is exceptional at explaining his own limitations, ethical reasoning and at incorporating a broad spectrum of thought into his responses. That makes him a better candidate for political office than any of the current crop. Too bad he’s French and not 35 years old yet. 

Seriously, Claude does remarkably well in wide-ranging discussions. Given a very large prompt originally developed for ChatGPT, it adapted the complex personna and built its own set of complimentary skills without a hiccup. Ability to retain some personalization or customization across sessions would have merited a 5 star review.",2024-07-19 18:22:35,4
